impl,fixture,m,p,n,worker_kind,workers,reps,rel_err,median_ms,min_ms,max_ms,source,is_weak
serial,small,64,64,64,none,1,30,2.727e-15,51.526,50.905,81.269,serial/results/tsvdm_serial-110214.out,False
serial,medium,256,256,256,none,1,30,3.585e-15,4269.736,4247.46,5376.66,serial/results/tsvdm_serial-110216.out,False
openmp,medium,256,256,256,threads,1,3,3.585e-15,4173.519,4172.509,4179.601,openmp/results/tsvdm_omp-110233.out,False
openmp,medium,256,256,256,threads,2,3,3.585e-15,2320.526,2320.496,2324.628,openmp/results/tsvdm_omp-110233.out,False
openmp,medium,256,256,256,threads,4,3,3.585e-15,1383.401,1382.935,1383.606,openmp/results/tsvdm_omp-110233.out,False
openmp,medium,256,256,256,threads,8,3,3.585e-15,933.439,932.835,933.817,openmp/results/tsvdm_omp-110233.out,False
openmp,medium,256,256,256,threads,16,3,3.585e-15,721.279,719.061,723.471,openmp/results/tsvdm_omp-110233.out,False
openmp,large,512,512,256,threads,1,3,3.884e-15,26343.684,26330.477,28067.708,openmp/results/tsvdm_omp-110235.out,False
openmp,large,512,512,256,threads,2,3,3.884e-15,14198.455,14196.435,14226.8,openmp/results/tsvdm_omp-110235.out,False
openmp,large,512,512,256,threads,4,3,3.884e-15,8110.441,8106.871,8110.897,openmp/results/tsvdm_omp-110235.out,False
openmp,large,512,512,256,threads,8,3,3.884e-15,5146.508,5145.902,5371.652,openmp/results/tsvdm_omp-110235.out,False
openmp,large,512,512,256,threads,16,3,3.884e-15,3657.462,3655.895,3764.46,openmp/results/tsvdm_omp-110235.out,False
openmp,medium,256,256,256,threads,16,3,3.585e-15,804.726,802.682,804.896,openmp/results/tsvdm_omp_vtune-110726.out,False
openmp,medium,256,256,256,threads,16,3,3.585e-15,752.068,749.929,756.027,openmp/results/tsvdm_omp_vtune-110808.out,False
openmp,weak_n32,256,256,32,threads,1,3,2.942e-15,469.651,469.364,477.857,openmp/results/tsvdm_omp_weak-110288.out,True
openmp,weak_n64,256,256,64,threads,2,3,3.173e-15,541.062,541.036,541.803,openmp/results/tsvdm_omp_weak-110288.out,True
openmp,weak_n128,256,256,128,threads,4,3,3.298e-15,670.197,669.95,671.273,openmp/results/tsvdm_omp_weak-110288.out,True
openmp,weak_n256,256,256,256,threads,8,3,3.585e-15,931.284,931.037,934.172,openmp/results/tsvdm_omp_weak-110288.out,True
openmp,weak_n512,256,256,512,threads,16,3,3.836e-15,1494.393,1492.515,1548.898,openmp/results/tsvdm_omp_weak-110288.out,True
mpi,medium,256,256,256,ranks,1,3,3.585e-15,4503.553,4497.424,4511.769,mpi/results/tsvdm_mpi-110237.out,False
mpi,medium,256,256,256,ranks,2,3,3.585e-15,2956.623,2947.862,3050.892,mpi/results/tsvdm_mpi-110237.out,False
mpi,medium,256,256,256,ranks,4,3,3.585e-15,2451.332,2433.199,2486.341,mpi/results/tsvdm_mpi-110237.out,False
mpi,medium,256,256,256,ranks,8,3,3.585e-15,2210.795,2205.055,2280.534,mpi/results/tsvdm_mpi-110237.out,False
mpi,large,512,512,256,ranks,1,3,3.884e-15,27313.265,27306.986,27400.057,mpi/results/tsvdm_mpi-110280.out,False
mpi,large,512,512,256,ranks,2,3,3.884e-15,16788.947,16786.907,16793.513,mpi/results/tsvdm_mpi-110280.out,False
mpi,large,512,512,256,ranks,4,3,3.884e-15,12569.217,12481.612,12614.678,mpi/results/tsvdm_mpi-110280.out,False
mpi,large,512,512,256,ranks,8,3,3.884e-15,10267.94,10220.261,10276.745,mpi/results/tsvdm_mpi-110280.out,False
mpi,weak_n32,256,256,32,ranks,1,3,2.942e-15,505.159,505.091,514.996,mpi/results/tsvdm_mpi_weak-110314.out,True
mpi,weak_n64,256,256,64,ranks,2,3,3.173e-15,685.109,660.916,690.533,mpi/results/tsvdm_mpi_weak-110314.out,True
mpi,weak_n128,256,256,128,ranks,4,3,3.298e-15,1132.63,1129.721,1133.071,mpi/results/tsvdm_mpi_weak-110314.out,True
mpi,weak_n256,256,256,256,ranks,8,3,3.585e-15,2241.246,2200.425,2633.143,mpi/results/tsvdm_mpi_weak-110314.out,True
julia,small,64,64,64,none,1,3,2.869e-15,91.057,62.519,163.714,additional/results/tsvdm_julia-110245.out,False
julia,medium,256,256,256,none,1,3,3.569e-15,5755.089,5736.045,5885.61,additional/results/tsvdm_julia-110245.out,False
julia,large,512,512,256,none,1,3,3.912e-15,30908.553,30659.519,31146.513,additional/results/tsvdm_julia-110245.out,False
julia,medium,256,256,256,none,1,1,3.622e-15,5847.333,5847.333,5847.333,additional/results/tsvdm_julia-110245.out,False
cupy,small,64,64,64,none,1,3,3.579e-15,354.013,353.605,354.425,cuda/results/tsvdm_cuda-110939.out,False
cupy,medium,256,256,256,none,1,3,6.366e-15,7562.449,7562.22,7562.586,cuda/results/tsvdm_cuda-110939.out,False
cupy,large,512,512,256,none,1,3,8.094e-15,22319.801,22319.431,22320.351,cuda/results/tsvdm_cuda-110939.out,False
cupy,medium,256,256,256,none,1,3,5.862e-15,7576.318,7576.279,7576.353,cuda/results/tsvdm_cuda-110939.out,False
